2016-05-01 00:00:27,贵AU0676,26.590883944826274,106.70489268638366,322,6.30555555555556,no
2016-05-01 00:00:57,贵AU0676,26.592242456055384,106.7032602519686,328,6.58333333333333,no
2016-05-01 00:01:26,贵AU0676,26.593548921518515,106.70305065331281,0,0,no
2016-05-01 00:01:57,贵AU0676,26.59359864180454,106.70679139931521,85,11.1388888888889,no
2016-05-01 00:02:27,贵AU0676,26.591559663771122,106.70807477290894,168,8.33333333333333,no
2016-05-01 00:03:57,贵AU0676,26.594354033185095,106.70730725167584,349,13.7777777777778,no
2016-05-01 00:04:27,贵AU0676,26.59570363086983,106.70698486843906,187,0,no
2016-05-01 00:04:57,贵AU0676,26.59729918255225,106.70671735657002,340,12.0277777777778,no
2016-05-01 00:05:27,贵AU0676,26.599212087913568,106.70549790108247,320,8.72222222222222,no
2016-05-01 00:05:57,贵AU0676,26.60177163803646,106.7046017351993,355,12.6388888888889,no
2016-06-02 00:06:27,贵AU0676,26.6035828563089,106.70388822401993,178,0,no
2016-06-02 00:07:27,贵AU0676,26.606969130432304,106.70257200473469,332,8.05555555555556,no
2016-06-02 00:07:57,贵AU0676,26.608704392732424,106.70183958041773,341,6.66666666666667,no
2016-06-02 00:08:27,贵AU0676,26.610822488975057,106.69993287872694,304,11.25,no
2016-06-02 00:08:57,贵AU0676,26.611955004410262,106.69838446838187,310,8.58333333333333,no
2016-06-02 00:09:27,贵AU0676,26.61362155402054,106.69750447839282,15,7.55555555555556,no
2016-06-02 00:09:57,贵AU0676,26.615194644287385,106.69817179782474,43,7.38888888888889,no
2016-06-02 00:10:27,贵AU0676,26.616802625799927,106.69955942784924,21,4.5,no
2016-06-02 00:10:57,贵AU0676,26.616876570836254,106.69959933012447,5,0,no
2016-06-02 00:11:27,贵AU0676,26.617666076243065,106.6999664269532,23,7.13888888888889,no
2016-06-02 00:12:27,贵AU0676,26.62086037968549,106.69930081469353,281,14.1388888888889,no
2016-06-02 00:12:57,贵AU0676,26.62186046990941,106.69491631114143,280,15.7777777777778,no
2016-06-02 00:13:25,贵AU0676,26.622317638165793,106.69243943216634,0,0,no
2016-06-02 00:13:57,贵AU0676,26.62356548198731,106.68571761282303,280,14.1388888888889,no
2016-06-02 00:14:27,贵AU0676,26.624758624007285,106.68130822687256,308,15.6388888888889,no
2016-06-02 00:14:57,贵AU0676,26.627461179011785,106.67737567210601,308,16.25,no
2016-06-02 00:15:57,贵AU0676,26.63251642637913,106.66903915662446,303,16.3888888888889,no
2016-06-02 00:16:27,贵AU0676,26.634744373652197,106.66497017439103,297,15.3611111111111,no
2016-06-03 00:16:57,贵AU0676,26.636131068756,106.66097996303753,289,15.8888888888889,no
2016-06-03 00:17:27,贵AU0676,26.63742566637224,106.65645207772435,281,17.5277777777778,no
2016-06-03 00:17:57,贵AU0676,26.638371844551394,106.65148412663136,281,16.3888888888889,no
2016-06-03 00:18:27,贵AU0676,26.63898811835786,106.64683700054228,266,13.3055555555556,no
2016-06-03 00:18:57,贵AU0676,26.638862237008244,106.64383847072777,79,0,no
2016-06-03 00:19:27,贵AU0676,26.638867202068166,106.64385941898574,79,0,no
2016-06-03 00:19:57,贵AU0676,26.638810955340308,106.6428089911589,264,11.1944444444444,no
2016-06-03 00:20:27,贵AU0676,26.639300398649205,106.64010845164316,20,10.3888888888889,no
2016-06-03 00:20:57,贵AU0676,26.641921972209417,106.64046845773036,7,12.5277777777778,no
2016-06-03 00:21:27,贵AU0676,26.642801027534606,106.64108194741371,354,0,no
2016-06-03 00:21:57,贵AU0676,26.642830803412366,106.6412206137463,131,0,yes
2016-06-03 00:22:27,贵AU0676,26.642830803412366,106.6412206137463,131,0,yes
2016-06-03 00:22:57,贵AU0676,26.64303701900559,106.64170743323899,88,0,yes
2016-06-03 00:23:27,贵AU0676,26.643063371172403,106.6427070128252,89,0,yes
2016-06-03 00:23:57,贵AU0676,26.642474365091797,106.64447969815693,120,2.61111111111111,yes
